Purchaser,Copies Ordered
Selfridge,2.0
Pied Piper,2.0
Kundig (Naville & Co),2.0
Hockliffe,2.0
Westvope,2.0
Woolston,3.0
W. H. Smith (Hampstead),3.0
Banks of Cheltenham,3.0
Ward & Yates,3.0
Common Reader,4.0
Foyles,5.0
Birrell ,5.0
Denny Strand,6.0
Zwemmer,8.0
Meulenhoff,9.0
Menzies (Edinburgh),12.0
Combridge Hove,129.0
W. H. Smith,203.0
